t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
1.072,1,0.836,-1.31,0.23,5,78.0,19.93,0.1925,0.0479,0.074,0.0,0.0,11.47,-1.81,1,0.598,4.5,0.21,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.074,1,0.836,-1.31,0.23,5,78.0,19.93,0.1954,0.0028,0.074,0.0,0.0,11.47,-1.81,1,0.598,4.5,0.21,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.076,1,0.836,-1.31,0.23,5,78.0,19.93,0.1954,0.0028,0.074,0.0,0.0,11.47,-1.81,1,0.596,5.25,0.31,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.094,1,0.836,-1.31,0.23,5,78.0,19.93,0.1954,0.0033,0.074,0.0,0.0,11.47,-1.81,1,0.596,5.25,0.31,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.111,1,0.836,-1.31,0.23,5,78.0,19.93,0.1954,0.0033,0.074,0.0,0.0,11.47,-1.81,1,0.599,6.0,0.84,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.116,1,0.836,-1.31,0.23,5,78.0,19.93,0.1954,0.0038,0.074,0.0,0.0,11.47,-1.81,1,0.599,6.0,0.84,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.124,1,0.851,-0.26,0.0,5,78.1,19.93,0.1954,0.0038,0.074,0.0,0.0,11.47,-1.81,1,0.599,6.0,0.84,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.134,1,0.851,-0.26,0.0,5,78.1,19.93,0.1977,-0.0027,0.074,0.0,0.0,11.47,-1.81,1,0.599,6.0,0.84,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.146,1,0.851,-0.26,0.0,5,78.1,19.93,0.1977,-0.0027,0.074,0.0,0.0,11.47,-1.81,1,0.598,7.5,0.21,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.154,1,0.851,-0.26,0.0,5,78.1,19.93,0.1977,-0.0017,0.074,0.0,0.0,11.47,-1.81,1,0.598,7.5,0.21,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.157,1,0.849,0.0,-2.46,5,78.0,19.93,0.1977,-0.0017,0.074,0.0,0.0,11.47,-1.81,1,0.598,7.5,0.21,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.174,1,0.849,0.0,-2.46,5,78.0,19.93,0.1857,0.0596,0.074,0.0,0.0,11.47,-1.81,1,0.598,7.5,0.21,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.177,1,0.849,0.0,-2.46,5,78.0,19.93,0.1857,0.0596,0.074,0.0,0.0,11.47,-1.81,1,0.591,3.75,-0.31,0.0,0,3,0.0741,0.0741,0.0741,0.0741
1.19,1,0.861,0.26,-0.4,5,78.1,19.93,0.1857,0.0596,0.074,0.0,0.0,11.47,-1.81,1,0.591,3.75,-0.31,0.0,0,3,0.0741,0.0741,0.0741,0.0741
