t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.001,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.66,11.82,-0.0,1,0.831,10.66,9.67,-0.606,1,5,0.0,0.0,0.0,0.0
0.004,1,0.821,-2.75,-1.46,5,72.6,20.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.66,11.82,-0.0,1,0.83,10.66,9.67,-0.607,1,5,0.0,0.0,0.0,0.0
0.007,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.66,11.82,-0.0,1,0.83,10.66,9.67,-0.606,1,5,0.0,0.0,0.0,0.0
0.009,1,0.82,-2.75,-1.46,5,72.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.83,10.66,9.67,-0.608,1,5,0.0,0.0,0.0,0.0
0.01,1,0.821,-2.75,-1.46,5,72.6,20.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.66,11.82,-0.0,1,0.831,10.66,9.67,-0.604,1,5,0.0,0.0,0.0,0.0
0.058,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.829,10.66,9.67,-0.609,1,5,0.0,0.0,0.0,0.0
0.096,1,0.821,-2.75,-1.46,5,72.6,20.0,0.0143,0.0502,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.829,10.66,9.67,-0.609,1,5,0.0,0.0,0.0,0.0
0.128,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0281,0.0502,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.829,10.66,9.67,-0.607,1,5,0.0,0.0,0.0,0.0
0.166,1,0.822,-2.75,-1.42,5,72.7,20.46,0.0426,0.0502,0.002,-0.0,0.002,0.0,-0.0,1.66,11.82,-0.0,1,0.831,10.66,9.66,-0.599,1,5,0.0,0.0029,0.0,0.0044
0.196,1,0.819,-2.75,-1.46,5,72.5,20.0,0.0494,0.0494,0.005,0.0,0.024,0.001,0.0,1.72,11.85,-0.85,1,0.831,10.66,9.66,-0.599,1,5,0.0,0.0029,0.0015,0.0058
0.262,1,0.819,-2.25,-1.43,5,72.5,20.0,0.07,0.0502,0.015,0.002,0.035,0.002,0.0,1.83,11.85,-0.85,1,0.831,10.66,9.66,-0.608,1,5,0.0055,0.0183,0.0146,0.0201
0.295,1,0.818,-2.25,-1.4,5,72.4,20.46,0.0843,0.0438,0.019,0.001,0.057,0.002,0.0,1.89,11.85,-0.85,1,0.828,11.15,9.56,-2.663,1,5,0.0109,0.0253,0.0163,0.0253
0.326,1,0.809,-2.0,-1.34,5,72.2,20.0,0.0981,0.0438,0.031,0.001,0.019,0.004,0.0,1.89,11.85,-0.85,1,0.819,11.15,11.02,-3.231,1,5,0.0255,0.0364,0.0291,0.0346
0.363,1,0.812,-2.0,-1.09,5,72.2,20.0,0.105,0.0397,0.048,0.001,0.006,0.007,0.0,1.95,11.85,-0.85,1,0.819,11.15,11.02,-3.231,1,5,0.0422,0.0532,0.0459,0.0514
0.398,1,0.811,-1.75,-0.16,5,71.7,20.0,0.1,0.036,0.068,0.002,0.006,0.01,0.001,1.95,11.85,0.74,1,0.824,12.12,10.52,0.358,1,5,0.0611,0.0703,0.0685,0.0703
0.496,1,0.787,-1.0,-0.23,5,71.1,19.59,0.092,0.0178,0.099,-0.0,-0.04,0.018,0.001,2.01,11.85,0.74,1,0.79,11.15,10.22,-0.422,1,5,0.0995,0.0995,0.0977,0.0995
0.527,1,0.789,-1.0,-0.05,5,71.1,20.2,0.092,0.0104,0.107,-0.001,0.087,0.023,0.001,2.01,11.85,0.74,1,0.806,9.69,5.87,-2.425,1,5,0.1088,0.1069,0.1051,0.1069
0.565,1,0.786,-0.75,0.84,5,71.1,19.59,0.092,0.0082,0.106,-0.002,0.016,0.027,0.001,2.06,11.85,0.74,1,0.823,10.66,5.62,-1.754,1,5,0.1055,0.1055,0.1018,0.111
0.595,1,0.791,-0.75,1.14,5,71.2,19.27,0.092,-0.0102,0.105,-0.002,0.003,0.029,0.001,2.06,11.85,2.87,1,0.823,10.66,5.62,-1.754,1,5,0.1036,0.1036,0.1018,0.1092
0.627,1,0.79,-0.75,1.13,5,71.7,19.27,0.092,-0.0145,0.099,-0.002,-0.021,0.033,0.001,2.01,11.85,2.87,1,0.814,10.66,5.62,-1.671,1,5,0.0981,0.0963,0.0981,0.1037
0.695,1,0.79,-2.5,2.46,5,72.2,19.27,0.092,-0.0137,0.097,0.003,-0.026,0.038,0.002,1.89,11.85,2.87,1,0.783,8.24,5.23,-4.904,1,5,0.098,0.0925,0.1073,0.0906
0.726,1,0.797,-2.75,2.67,5,72.5,19.59,0.0726,-0.016,0.101,0.004,-0.066,0.043,0.002,1.78,11.85,2.87,1,0.756,2.42,-1.4,-5.897,1,5,0.1036,0.0962,0.1128,0.0906
0.762,1,0.769,-2.99,2.29,5,72.7,19.59,0.0726,-0.0175,0.105,0.001,-0.04,0.047,0.002,1.66,11.85,2.87,1,0.756,2.42,-1.4,-5.897,1,5,0.111,0.0999,0.1129,0.0981
0.797,1,0.788,-3.24,2.56,5,73.4,19.85,0.0726,-0.0093,0.105,0.001,-0.045,0.049,0.002,1.6,11.85,4.44,1,0.358,3.61,-6.35,-3.831,1,4,0.1128,0.1036,0.1091,0.0962
0.825,1,0.792,-3.24,1.98,5,73.4,19.85,0.0726,-0.0124,0.1,0.0,-0.014,0.053,0.002,1.6,11.85,4.44,1,0.358,3.0,-8.55,0.0,0,4,0.1073,0.098,0.1036,0.0925
0.863,1,0.762,-3.49,1.45,5,72.9,20.57,0.0726,-0.0029,0.094,0.001,-0.028,0.056,0.002,1.55,11.85,4.44,1,0.358,3.0,-8.55,0.0,0,4,0.0981,0.0889,0.1018,0.0889
0.895,1,0.801,-3.74,2.2,5,73.2,19.85,0.0726,0.0086,0.093,-0.001,-0.046,0.058,0.002,1.49,11.85,4.44,1,0.781,-0.97,-5.8,0.0,0,5,0.0944,0.0815,0.1018,0.0926
0.927,1,0.814,-2.5,0.72,5,72.8,19.97,0.0726,-0.0024,0.088,-0.002,-0.004,0.061,0.002,1.38,11.85,4.44,1,0.781,-0.97,-5.8,0.0,0,5,0.0908,0.0759,0.0945,0.0889
0.998,1,0.807,-2.75,0.66,5,73.3,20.04,0.07,0.0082,0.078,-0.002,-0.024,0.068,0.002,1.38,11.85,3.04,1,0.82,1.94,-9.14,0.0,0,5,0.0833,0.0703,0.0814,0.0759
1.025,1,0.811,-2.75,0.35,5,73.3,20.0,0.07,0.0129,0.077,-0.002,0.008,0.069,0.002,1.38,11.85,3.04,1,0.82,1.94,-9.14,0.0,0,5,0.0796,0.0704,0.0796,0.0778
1.063,1,0.794,-2.75,-0.35,5,73.3,20.04,0.07,0.0183,0.075,-0.001,-0.021,0.072,0.002,1.38,11.85,3.04,1,0.82,1.94,-9.14,0.0,0,5,0.0721,0.0703,0.0777,0.0814
1.094,1,0.822,-2.75,0.42,5,73.3,20.0,0.07,0.0306,0.074,-0.002,0.004,0.074,0.002,1.38,11.85,3.04,1,0.84,0.97,-8.7,0.0,0,5,0.0703,0.0703,0.074,0.0814
1.161,1,0.816,-2.5,0.08,5,73.7,20.0,0.07,0.0174,0.073,0.0,0.006,0.079,0.003,1.43,11.85,3.04,1,0.847,5.33,5.41,-4.813,1,5,0.0666,0.074,0.0722,0.0777
1.194,1,0.788,-2.25,0.08,5,73.7,20.46,0.07,0.0202,0.073,0.001,0.011,0.081,0.003,1.43,11.87,-0.27,1,0.869,5.33,2.99,0.0,0,5,0.0666,0.074,0.074,0.0759
1.228,1,0.775,-2.25,0.01,5,73.0,20.46,0.07,0.0174,0.072,0.0,-0.005,0.084,0.003,1.43,11.87,-0.27,1,0.867,5.33,3.09,0.0,0,5,0.0666,0.0722,0.0722,0.0759
1.261,1,0.789,-2.25,-0.49,5,73.4,20.04,0.07,0.0191,0.07,0.001,0.007,0.087,0.003,1.43,11.87,-0.27,1,0.859,5.33,3.11,0.0,0,5,0.0722,0.0722,0.0703,0.0666
1.297,1,0.804,-2.25,0.07,5,73.0,20.04,0.07,0.028,0.07,0.003,-0.015,0.089,0.003,1.43,11.87,-0.27,1,0.845,7.76,1.69,-5.343,1,5,0.074,0.074,0.0721,0.061
