t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,perfil,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.064,1,0.775,-0.5,-0.86,5,76.4,20.56,0.035,0.0194,0.004,0.0,0.0,1.777,-1.08,-68.87,11.59,2,-0.08,1,0.843,13.57,8.3,0.802,1,5,0.0037,0.0056,0.0037,0.0037
0.099,1,0.775,-0.5,-0.85,5,76.4,20.56,0.0489,0.0195,0.006,0.0,0.005,1.778,-1.08,-68.87,11.59,2,-0.08,1,0.839,13.57,8.78,-0.053,1,5,0.0056,0.0074,0.0056,0.0056
0.164,1,0.773,-0.5,-1.2,5,76.2,20.96,0.07,0.0194,0.01,0.001,0.05,1.778,-1.081,-68.93,11.59,2,0.51,1,0.845,13.09,8.31,0.526,1,5,0.0074,0.0093,0.013,0.0111
0.265,1,0.785,-0.5,-1.15,5,75.4,20.96,0.105,0.0254,0.049,-0.002,-0.005,1.78,-1.085,-68.93,11.59,2,0.51,1,0.83,9.69,2.64,0.875,1,5,0.0538,0.0464,0.0482,0.0482
0.365,1,0.785,-0.5,-0.58,5,75.8,20.56,0.14,0.0298,0.095,0.0,0.012,1.783,-1.094,-68.87,11.59,2,2.52,1,0.812,10.66,6.35,7.725,1,5,0.0923,0.0941,0.096,0.096
0.463,1,0.79,-0.25,-0.75,5,76.7,20.56,0.1386,0.0171,0.135,0.002,-0.058,1.788,-1.107,-68.98,11.59,2,2.52,1,0.799,8.72,10.43,0.0,0,5,0.1298,0.1372,0.1372,0.1372
0.498,1,0.78,-0.5,-0.47,5,76.8,20.56,0.1444,0.0183,0.14,0.001,-0.016,1.789,-1.109,-69.04,11.59,2,2.52,1,0.786,4.85,8.89,0.0,0,5,0.1372,0.1391,0.1428,0.1409
0.564,1,0.794,0.25,-0.67,5,75.3,20.81,0.12,0.0137,0.15,-0.001,-0.019,1.793,-1.121,-68.81,11.6,2,4.9,1,0.819,5.82,5.83,0.0,0,5,0.1502,0.1447,0.1502,0.1484
0.598,1,0.802,0.5,-0.73,5,75.6,20.81,0.1269,0.0088,0.152,-0.0,-0.012,1.795,-1.123,-68.87,11.6,2,4.9,1,0.804,3.88,6.92,0.0,0,5,0.1502,0.1521,0.1502,0.1539
0.763,1,0.845,1.0,-1.22,5,76.6,20.56,0.1667,0.0134,0.156,0.0,-0.042,1.805,-1.149,-68.98,11.6,2,5.55,1,0.807,2.91,17.85,0.0,0,5,0.1539,0.1484,0.1558,0.1539
0.791,1,0.814,3.24,-3.35,5,75.6,20.56,0.1735,0.0208,0.161,0.001,-0.002,1.806,-1.152,-68.98,11.6,2,5.55,1,0.807,2.91,17.85,0.0,0,5,0.1574,0.1556,0.1686,0.1612
0.861,1,0.782,4.74,-4.6,5,73.9,20.44,0.1931,0.061,0.174,0.002,-0.009,1.81,-1.162,-69.04,11.6,2,5.55,1,0.811,2.91,24.32,0.0,0,5,0.1723,0.1741,0.1778,0.1723
0.963,1,0.873,3.99,-1.53,5,75.1,20.0,0.1323,0.0496,0.196,0.005,-0.016,1.819,-1.184,-68.81,11.6,2,5.23,1,0.828,4.85,38.0,0.0,0,5,0.179,0.2067,0.1956,0.203
1.064,1,0.844,3.74,-0.65,5,73.3,20.44,0.12,-0.0069,0.187,0.004,-0.071,1.826,-1.201,-68.58,11.6,2,5.23,1,0.807,3.88,44.88,0.0,0,5,0.1741,0.1926,0.1889,0.1908
1.163,1,0.838,7.24,-2.82,5,74.3,20.44,0.12,-0.0209,0.163,0.007,-0.003,1.832,-1.216,-68.75,11.6,2,12.94,1,0.771,-6.3,36.5,0.0,0,5,0.1574,0.1704,0.1686,0.1537
1.233,1,0.842,6.74,-1.82,5,74.3,20.56,0.12,-0.0188,0.151,0.004,-0.114,1.836,-1.224,-68.75,11.6,2,12.94,1,0.802,-10.18,30.09,0.0,0,5,0.1539,0.1409,0.1688,0.1391
1.261,1,0.863,4.74,-0.65,5,74.9,20.46,0.12,-0.0292,0.151,0.005,-0.158,1.837,-1.227,-68.93,11.6,2,12.94,1,0.806,-9.21,31.03,0.0,0,5,0.1521,0.1409,0.1706,0.1391
1.292,1,0.855,6.49,-2.05,5,74.6,20.44,0.12,-0.0261,0.144,0.008,-0.103,1.839,-1.232,-69.1,11.6,2,12.94,1,0.806,-9.21,31.03,0.0,0,5,0.1465,0.1391,0.1651,0.1243
